Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,60,99,60.61,Break,53,99,53.54
House,125,136,91.91,House,129,136,94.85
Ballet Jazz,70,136,51.47,Ballet Jazz,60,136,44.12
Street Jazz,62,129,48.06,Street Jazz,57,129,44.19
Krump,75,137,54.74,Krump,58,137,42.34
LA style Hip-hop,95,141,67.38,LA style Hip-hop,71,141,50.35
Lock,71,141,50.35,Lock,47,141,33.33
Middle Hip-hop,122,140,87.14,Middle Hip-hop,83,140,59.29
Pop,96,141,68.09,Pop,67,141,47.52
Waack,76,141,53.9,Waack,57,141,40.43
