Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,54,99,54.55,Break,44,99,44.44
House,116,136,85.29,House,96,136,70.59
Ballet Jazz,52,136,38.24,Ballet Jazz,53,136,38.97
Street Jazz,34,129,26.36,Street Jazz,29,129,22.48
Krump,61,137,44.53,Krump,58,137,42.34
LA style Hip-hop,79,141,56.03,LA style Hip-hop,49,141,34.75
Lock,58,141,41.13,Lock,38,141,26.95
Middle Hip-hop,101,140,72.14,Middle Hip-hop,93,140,66.43
Pop,77,141,54.61,Pop,44,141,31.21
Waack,49,141,34.75,Waack,42,141,29.79
