Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,47,99,47.47,Break,32,99,32.32
House,122,136,89.71,House,85,136,62.5
Ballet Jazz,47,136,34.56,Ballet Jazz,50,136,36.76
Street Jazz,33,129,25.58,Street Jazz,38,129,29.46
Krump,49,137,35.77,Krump,54,137,39.42
LA style Hip-hop,86,141,60.99,LA style Hip-hop,45,141,31.91
Lock,56,141,39.72,Lock,43,141,30.5
Middle Hip-hop,103,140,73.57,Middle Hip-hop,94,140,67.14
Pop,75,141,53.19,Pop,52,141,36.88
Waack,43,141,30.5,Waack,48,141,34.04
