genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,54,47,44,32,77,54.55,47.47,44.44,32.32,77.78
Pop,141,77,75,44,52,111,54.61,53.19,31.21,36.88,78.72
Lock,141,58,56,38,43,88,41.13,39.72,26.95,30.5,62.41
Middle Hip-hop,140,101,103,93,94,126,72.14,73.57,66.43,67.14,90.0
LA style Hip-hop,141,79,86,49,45,108,56.03,60.99,34.75,31.91,76.6
House,136,116,122,96,85,136,85.29,89.71,70.59,62.5,100.0
Waack,141,49,43,42,48,93,34.75,30.5,29.79,34.04,65.96
Krump,137,61,49,58,54,96,44.53,35.77,42.34,39.42,70.07
Street Jazz,129,34,33,29,38,83,26.36,25.58,22.48,29.46,64.34
Ballet Jazz,136,52,47,53,50,95,38.24,34.56,38.97,36.76,69.85
