genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,71.93,41.86,47.37,35.85,42.11,45.28
Pop,63.16,33.33,35.53,26.56,30.26,31.25
Lock,53.23,35.42,39.29,40.32,39.29,37.1
Middle Hip-hop,85.32,75.0,65.05,77.06,75.93,64.22
LA style Hip-hop,65.06,41.27,47.5,32.53,26.25,45.78
House,81.67,67.07,62.39,55.83,57.8,65.0
Waack,52.94,40.48,29.41,29.17,35.29,31.25
Krump,51.56,45.31,40.62,46.88,53.12,42.31
Street Jazz,34.62,36.36,21.88,21.21,18.18,18.75
Ballet Jazz,52.38,39.53,34.88,36.59,47.62,30.23
